id;start_date;end_date;language
1;2020-03-23T10:51:00;2020-03-23T08:41:15;SPANISH
2;2020-03-22T15:41:11;2020-03-23T10:45:36;SPANISH
3;2020-03-23T06:36:30;2020-03-22T17:10:39;FRENCH
4;2020-03-22T21:54:01;2020-03-23T09:25:27;FRENCH
5;2020-03-23T07:24:19;2020-03-23T12:11:18;FRENCH
6;2020-03-23T01:16:40;2020-03-23T13:24:54;FRENCH
7;2020-03-23T03:02:00;2020-03-22T20:52:51;FRENCH
8;2020-03-23T01:58:13;2020-03-23T12:14:21;SPANISH
9;2020-03-23T00:39:22;2020-03-22T21:20:45;SPANISH
10;2020-03-23T08:51:26;2020-03-22T19:25:56;SPANISH
